,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const,state
114,114,22.56772944,44:51.4,45:25.0,0 days 00:00:33.577166,0.75,0.23,0.81,0.98,0.25,0.28,0.26,0.54,0.12,0.94,1,0.59,0.33,COMPLETE
115,115,35.02795069,45:25.0,45:57.3,0 days 00:00:32.367972,0.66,0.14,0.77,0.98,0.24,0.29,0.3,0.54,0.11,0.79,1,0.59,0.82,COMPLETE
116,116,22.98890596,45:57.3,46:50.3,0 days 00:00:52.919164,0.74,0.17,0.77,1,0.32,0.2,0.26,0.52,0.18,0.96,0.95,0.62,0.35,COMPLETE
117,117,22.51031864,46:50.3,47:26.8,0 days 00:00:36.538264,0.72,0.22,0.82,0.94,0.3,0.36,0.23,0.46,0.13,1,0.93,0.52,0.25,COMPLETE
118,118,22.73920443,47:26.8,48:16.0,0 days 00:00:49.222238,0.72,0.26,0.8,0.95,0.25,0.39,0.24,0.49,0.21,0.98,0.92,0.53,0.26,COMPLETE
119,119,23.10452699,48:16.0,49:08.5,0 days 00:00:52.454516,0.72,0.22,0.8,0.95,0.29,0.22,0.24,0.45,0.23,0.98,0.93,0.5,0.26,COMPLETE
120,120,22.67249994,49:08.5,49:49.6,0 days 00:00:41.095592,0.75,0.24,0.82,1,0.35,0.39,0.23,0.47,0.19,0.95,0.98,0.53,0.29,COMPLETE
121,121,22.74024792,49:49.6,50:29.9,0 days 00:00:40.304285,0.75,0.24,0.75,1,0.34,0.38,0.22,0.46,0.21,0.95,0.99,0.53,0.25,COMPLETE
122,122,22.5301743,50:29.9,51:07.2,0 days 00:00:37.326413,0.7,0.21,0.7,0.97,0.36,0.41,0.31,0.49,0.19,1,0.96,0.45,0.29,COMPLETE
123,123,22.49233544,51:07.2,51:43.7,0 days 00:00:36.461837,0.65,0.2,0.67,0.97,0.38,0.48,0.31,0.43,0.14,0.93,0.96,0.45,0.29,COMPLETE
124,124,22.47891102,51:43.7,52:24.9,0 days 00:00:41.222438,0.66,0.2,0.69,0.97,0.44,0.48,0.35,0.39,0.14,1,0.96,0.45,0.28,COMPLETE
125,125,22.39181552,52:24.9,53:18.4,0 days 00:00:53.533911,0.63,0.12,0.63,0.97,0.47,0.42,0.31,0.34,0.14,1,0.96,0.45,0.23,COMPLETE
126,126,23.16487237,53:18.4,54:00.0,0 days 00:00:41.562971,0.63,0.08,0.69,0.97,0.43,0.52,0.31,0.29,0.04,1,0.96,0.43,0.22,COMPLETE
127,127,22.66217707,54:00.0,54:40.2,0 days 00:00:40.167444,0.66,0.2,0.65,0.98,0.38,0.41,0.35,0.34,0.07,0.95,0.98,0.44,0.29,COMPLETE
128,128,22.76556258,54:40.2,55:30.7,0 days 00:00:50.477151,0.67,0.12,0.63,0.98,0.46,0.41,0.35,0.32,0.07,0.95,1,0.45,0.29,COMPLETE
129,129,22.54403589,55:30.7,56:08.8,0 days 00:00:38.175773,0.66,0.2,0.64,1,0.38,0.47,0.33,0.35,0.09,1,0.98,0.41,0.23,COMPLETE
130,130,22.53927975,56:08.8,56:47.7,0 days 00:00:38.872325,0.66,0.2,0.67,1,0.38,0.48,0.34,0.39,0.09,0.93,0.97,0.37,0.23,COMPLETE
131,131,23.22858836,56:47.7,57:17.1,0 days 00:00:29.428325,0.57,0.2,0.66,1,0.39,0.47,0.34,0.34,0.02,1,0.97,0.37,0.23,COMPLETE
132,132,22.43683097,57:17.1,57:58.6,0 days 00:00:41.459196,0.65,0.16,0.6,0.96,0.36,0.43,0.39,0.36,0.09,0.93,0.94,0.37,0.29,COMPLETE
133,133,22.68773346,57:58.6,58:56.8,0 days 00:00:58.254331,0.66,0.16,0.71,0.96,0.36,0.43,0.4,0.38,0.06,0.94,0.94,0.4,0.28,COMPLETE
134,134,22.61594774,58:56.9,59:57.2,0 days 00:01:00.385930,0.64,0.08,0.59,0.93,0.38,0.5,0.38,0.39,0.09,0.97,0.97,0.32,0.2,COMPLETE
135,135,22.52673417,59:57.2,01:05.5,0 days 00:01:08.264924,0.64,0.07,0.6,0.93,0.47,0.49,0.38,0.36,0.1,0.97,0.95,0.29,0.2,COMPLETE
136,136,22.65580266,01:05.5,02:03.4,0 days 00:00:57.943889,0.6,0.03,0.59,0.94,0.46,0.57,0.38,0.39,0.1,0.97,0.95,0.27,0.19,COMPLETE
137,137,22.65991895,02:03.5,03:08.0,0 days 00:01:04.567932,0.64,0.09,0.58,0.93,0.48,0.5,0.37,0.24,0.09,0.92,0.93,0.34,0.21,COMPLETE
138,138,26.52449166,03:08.0,04:13.3,0 days 00:01:05.252819,0.62,0.14,0.62,0.93,0.51,0.55,0.43,0.42,0.04,1,0.95,0.29,0.62,COMPLETE
139,139,22.48894425,04:13.3,04:46.7,0 days 00:00:33.445716,0.7,0.09,0.68,0.96,0.44,0.49,0.32,0.36,0.12,0.91,0.96,0.41,0.24,COMPLETE
140,140,22.61129817,04:46.7,05:30.0,0 days 00:00:43.266913,0.7,0.07,0.63,0.96,0.45,0.49,0.33,0.36,0.09,0.91,0.91,0.37,0.24,COMPLETE
141,141,22.47437871,05:30.0,06:46.9,0 days 00:01:16.957380,0.7,0.1,0.68,0.97,0.44,0.49,0.47,0.35,0.09,0.92,0.91,0.36,0.23,COMPLETE
142,142,22.30037945,06:46.9,07:27.3,0 days 00:00:40.388231,0.67,0.05,0.67,0.97,0.43,0.47,0.48,0.36,0.12,0.9,0.91,0.37,0.24,COMPLETE
